epoch,train_node_loss,train_net_loss,val_node_loss,val_net_loss
0,356.45595703125,666.1648193359375,170.65480041503906,528.7531127929688
1,334.4624984741211,633.5005676269532,158.59242248535156,500.6031494140625
2,314.9803985595703,602.5098205566406,147.14324951171875,470.7574157714844
3,296.36338500976564,568.4497375488281,135.63116455078125,437.3038635253906
4,273.9738830566406,529.3221374511719,124.74147033691406,399.3645324707031
5,255.2186279296875,484.4731384277344,113.79381561279297,358.3315124511719
6,232.38084411621094,441.0718597412109,104.80200958251953,315.5913391113281
7,214.51358489990236,391.0642578125,97.86170196533203,271.6468200683594
8,193.06688079833984,337.8328033447266,94.427001953125,227.21487426757812
9,177.12540130615236,287.33970031738284,94.95889282226562,182.8503875732422
10,164.04253234863282,236.90562896728517,99.265380859375,142.22976684570312
11,157.67025146484374,188.36216049194337,106.90164947509766,108.51061248779297
12,153.03827056884765,153.3690975189209,115.01175689697266,82.97618865966797
13,153.84934463500977,119.6451515197754,123.65131378173828,68.98218536376953
14,152.538240814209,105.78267555236816,126.25187683105469,64.32685852050781
15,153.46342239379882,94.31903533935547,127.80481719970703,66.55236053466797
16,153.04331436157227,92.21478500366212,125.68452453613281,70.96162414550781
17,152.7817726135254,92.5306182861328,122.428955078125,73.9078369140625
18,152.7354949951172,92.64347763061524,121.12686920166016,73.58319091796875
19,152.77331085205077,92.47512741088867,116.70862579345703,71.84632873535156
20,153.29295349121094,94.73252944946289,116.47590637207031,67.17593383789062
21,153.76643753051758,91.67703781127929,121.69122314453125,68.89533233642578
22,152.6034782409668,91.27590560913086,120.28558349609375,68.00060272216797
23,153.5696128845215,91.2677116394043,117.18628692626953,67.69074249267578
24,152.7687774658203,91.34870376586915,119.4078140258789,68.09598541259766
25,152.49857406616212,91.29589920043945,119.15403747558594,67.01177215576172
26,152.81621017456055,91.12907791137695,120.63533782958984,67.12114715576172
