function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,7.9e-06,1.04e-05
"('_collections_abc.py', 664, '__contains__')",8,6e-06,1.2e-05
"('functools.py', 404, '__get__')",2,1.54e-05,1.72e-05
"('__init__.py', 47, 'create_string_buffer')",2,0.0002101,0.0002124
"('_weakrefset.py', 16, '__init__')",4,5.600000000000001e-06,5.600000000000001e-06
"('_weakrefset.py', 20, '__enter__')",4,1.1000000000000001e-05,1.3700000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,1.1700000000000001e-05,1.63e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.3e-06,3.3e-06
"('_weakrefset.py', 58, '__iter__')",6,2.19e-05,5.75e-05
"('_weakrefset.py', 81, 'add')",2,8.6e-06,1.54e-05
"('_weakrefset.py', 106, 'remove')",2,1.01e-05,3.5600000000000005e-05
"('threading.py', 513, 'is_set')",2,1.3e-06,1.3e-06
"('_compile.py', 9, 'is_compiling')",336,0.0005028000000000001,0.0005028000000000001
"('_tensor.py', 429, 'backward')",3,5.81e-05,39.3267487
"('_tensor.py', 906, '__iter__')",4,1.8900000000000002e-05,0.00011700000000000001
"('_tensor.py', 928, '__hash__')",246,6.85e-05,0.0001061
"('__init__.py', 78, '_is_compiled')",3,4.7e-06,8.400000000000001e-06
"('__init__.py', 82, 'is_available')",3,1.1200000000000001e-05,2.5300000000000002e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.0001105,0.0002728
"('__init__.py', 31, '__get__')",24,3.47e-05,6.71e-05
"('module.py', 1188, '_call_impl')",432,0.44669780000000003,26.882627300000003
"('module.py', 1256, '__getattr__')",580,0.0019784,0.0019784
"('linear.py', 113, 'forward')",152,0.0016552000000000001,4.515724700000001
"('functional.py', 1446, 'relu')",24,0.0001565,0.5200897
"('functional.py', 1618, 'leaky_relu')",64,0.0005154000000000001,4.793431200000001
"('functional.py', 2500, 'layer_norm')",24,0.0003244,1.5210656
"('functional.py', 3264, 'mse_loss')",8,0.00011590000000000001,0.010471000000000001
"('_VF.py', 26, '__getattr__')",8,1.6800000000000002e-05,2.68e-05
