num_layer,num_dim,epoch,train_node_loss,train_net_loss
2,8,1,361.63780517578124,671.8866394042968
2,8,2,350.7962341308594,651.0102233886719
2,8,3,339.8049743652344,630.8498596191406
2,8,4,328.3564880371094,609.4802307128906
2,8,5,316.68341369628905,588.2840698242187
2,8,6,303.35401763916013,566.4114929199219
2,8,7,290.0604949951172,542.8300415039063
2,8,8,276.87233276367186,518.5538757324218
2,8,9,264.34341583251955,493.61554565429685
2,8,10,248.4662872314453,468.35943908691405
2,8,11,237.1085174560547,443.0944793701172
2,8,12,223.0469009399414,415.5971313476563
2,8,13,208.72874755859374,388.44159545898435
2,8,14,197.10247802734375,361.3590057373047
2,8,15,187.41793365478514,333.8325927734375
2,8,16,176.80584640502929,306.7689971923828
2,8,17,171.65926361083984,280.6439895629883
2,8,18,163.5242027282715,256.0991607666016
2,8,19,158.71056671142577,229.22494201660157
2,8,20,157.3377555847168,207.55933151245117
2,8,21,153.9184341430664,186.78971633911132
2,8,22,152.76815643310547,167.62241821289064
2,8,23,153.832666015625,151.6507209777832
2,8,24,152.74203338623047,136.1665153503418
2,8,25,152.78384246826172,126.50622024536133
2,8,26,153.00616149902345,114.71195602416992
2,8,27,152.77213363647462,108.13377723693847
2,16,1,356.31798248291017,677.3903076171875
2,16,2,346.2521545410156,649.1101013183594
2,16,3,335.28346099853513,624.9456481933594
2,16,4,322.37955474853516,600.1753723144532
2,16,5,307.89636993408203,572.1340270996094
2,16,6,291.9635665893555,543.8967529296875
2,16,7,276.1586624145508,509.9825073242188
2,16,8,260.11622161865233,475.3439880371094
2,16,9,242.24402465820313,437.1179260253906
2,16,10,227.84191436767577,397.1901794433594
2,16,11,209.653955078125,354.09095458984376
2,16,12,197.48680572509767,306.6390319824219
2,16,13,182.3265365600586,264.08544921875
2,16,14,173.0527114868164,221.95428924560548
2,16,15,165.8318893432617,182.51719665527344
2,16,16,158.39413986206054,148.70140266418457
2,16,17,155.2177421569824,126.45623550415038
2,16,18,154.3188446044922,105.94305000305175
2,16,19,152.79682312011718,95.84340744018554
2,32,1,357.5643508911133,680.6663757324219
2,32,2,340.88800659179685,644.9333862304687
2,32,3,326.2141311645508,615.3368713378907
2,32,4,310.83488006591796,583.4415954589844
2,32,5,291.92333526611327,545.6590209960938
2,32,6,273.9154251098633,505.94447021484376
2,32,7,255.88169860839844,463.32713012695314
2,32,8,234.6559066772461,417.41998596191405
2,32,9,213.6079360961914,366.639404296875
2,32,10,195.72622833251953,313.868798828125
2,32,11,181.10363159179687,266.6793182373047
2,32,12,167.2715965270996,217.01326599121094
2,32,13,161.16856689453124,173.48726806640624
2,32,14,153.79347381591796,138.83821144104004
2,32,15,152.83405380249025,113.0365535736084
2,32,16,153.828458404541,100.76148223876953
2,32,17,153.2646453857422,91.61455764770508
3,8,1,359.62221069335936,684.7534423828125
3,8,2,347.6153167724609,668.962451171875
3,8,3,336.45308380126954,653.6977416992188
3,8,4,322.79786071777346,637.9923217773437
3,8,5,310.8585952758789,620.4634155273437
3,8,6,295.8930435180664,600.8722900390625
3,8,7,282.7169784545898,580.902001953125
3,8,8,270.0433044433594,556.7166809082031
3,8,9,257.14332580566406,530.3806396484375
3,8,10,245.98260040283202,503.3081787109375
3,8,11,231.95835723876954,473.31749267578124
3,8,12,220.22591400146484,444.26160888671876
3,8,13,210.02010192871094,412.5542938232422
3,8,14,198.26148529052733,377.74213256835935
3,8,15,190.71193237304686,346.64073181152344
3,8,16,180.8208999633789,312.4614562988281
3,8,17,173.15960083007812,281.1059814453125
3,8,18,169.15008621215821,250.92309112548827
3,8,19,162.1476608276367,221.992236328125
3,8,20,160.22718200683593,195.30761489868163
3,8,21,155.96610488891602,170.1693313598633
3,8,22,154.6408546447754,150.5693790435791
3,8,23,153.42677154541016,132.80391883850098
3,8,24,153.19108352661132,118.31385765075683
3,8,25,152.98619537353517,110.00930709838867
3,8,26,152.9398551940918,101.60031318664551
3,16,1,361.8275451660156,693.8134887695312
3,16,2,346.6407867431641,670.3756958007813
3,16,3,333.4615814208984,649.2099487304688
3,16,4,317.54799194335936,624.7644653320312
3,16,5,304.73016662597655,596.1821533203125
3,16,6,291.0146942138672,561.7820739746094
3,16,7,276.28397369384766,525.502880859375
3,16,8,261.5142333984375,488.3158264160156
3,16,9,244.8882064819336,448.869873046875
3,16,10,225.9997344970703,409.45498046875
3,16,11,211.69307556152344,368.4845733642578
3,16,12,196.4469482421875,323.1684173583984
3,16,13,183.54009246826172,283.7216857910156
3,16,14,170.99000778198243,240.257421875
3,16,15,162.65998611450195,204.4523017883301
3,16,16,157.20626831054688,173.1316650390625
3,16,17,156.2662353515625,143.61251335144044
3,16,18,152.91977767944337,124.04259872436523
3,16,19,152.7406135559082,109.32035675048829
3,16,20,153.26060791015624,97.66294746398925
3,32,1,361.5379470825195,667.7693298339843
3,32,2,338.68665466308596,632.2829895019531
3,32,3,319.73641815185545,598.2580627441406
3,32,4,299.14620208740234,561.243603515625
3,32,5,279.80760803222654,522.6579223632813
3,32,6,257.37818145751953,477.11749267578125
3,32,7,235.61003570556642,430.55967102050784
3,32,8,213.3706039428711,379.94382934570314
3,32,9,195.23998565673827,326.1219787597656
3,32,10,175.85938568115233,273.1440231323242
3,32,11,166.30060882568358,222.28311920166016
3,32,12,156.9729866027832,173.25396499633788
3,32,13,153.11129608154297,135.07596321105956
3,32,14,153.68167419433593,110.33319091796875
3,32,15,153.09215927124023,97.3956687927246
3,32,16,153.5263557434082,93.12291259765625
4,8,1,371.78758850097654,693.8640075683594
4,8,2,357.7483367919922,676.2399475097657
4,8,3,344.94788513183596,658.8435607910156
4,8,4,333.51524047851564,640.31923828125
4,8,5,320.6210006713867,619.8975708007813
4,8,6,308.6226440429688,598.2694763183594
4,8,7,295.57566986083987,573.48427734375
4,8,8,283.2366287231445,546.271337890625
4,8,9,269.31825561523436,518.4652648925781
