epoch,train_node_loss,train_net_loss,val_node_loss,val_net_loss,gpu_peak_memory
0,360.7246063232422,667.4755798339844,175.68991088867188,526.9111328125,12411.4228515625
1,343.9767364501953,632.2998962402344,164.25656127929688,497.5931396484375,22133.796875
2,323.3535720825195,599.0127075195312,152.67251586914062,464.9387512207031,22133.8173828125
3,303.71353912353516,561.7632629394532,140.46983337402344,429.5313415527344,22133.638671875
4,284.42431488037107,520.6275207519532,127.85165405273438,391.4613952636719,22133.66796875
5,260.17334899902346,475.5341552734375,116.02696990966797,349.883544921875,22133.90234375
6,238.37511596679687,428.20240173339846,105.66261291503906,305.1486511230469,22133.6474609375
7,214.05657501220702,377.74854736328126,98.41559600830078,257.975830078125,22133.52734375
8,194.06756896972655,322.1199615478516,94.62884521484375,211.29893493652344,22133.5859375
9,178.60802764892577,267.61907958984375,95.12234497070312,167.21836853027344,22133.685546875
10,163.48280334472656,217.2582244873047,99.4851303100586,128.31837463378906,22133.69140625
11,157.3827682495117,171.44239807128906,107.2293930053711,97.64378356933594,22133.4775390625
12,155.57798919677734,137.29451026916504,117.16026306152344,76.6956558227539,22133.6240234375
13,153.13134384155273,115.50694732666015,123.59229278564453,66.40984344482422,22133.650390625
14,152.96013259887695,96.73786087036133,126.48104858398438,65.3260269165039,22133.6064453125
15,153.16130905151368,92.53857192993163,126.90778350830078,68.7182846069336,22133.814453125
