epoch,train_node_loss,train_net_loss,val_node_loss,val_net_loss,gpu_peak_memory
0,345.90025939941404,666.7966064453125,155.36643981933594,490.5760498046875,7757.3271484375
1,280.12677307128905,537.8511169433593,119.57835388183594,373.3767395019531,13539.7607421875
2,243.83121185302736,448.01527099609376,99.63276672363281,276.3116455078125,13539.4990234375
3,186.71336288452147,295.61912536621094,100.95069122314453,145.63485717773438,13539.7802734375
4,152.9443229675293,184.80759887695314,125.58334350585938,81.12104797363281,13539.9638671875
5,152.79198989868163,106.57094039916993,155.2880401611328,80.92110443115234,13539.8896484375
6,163.16340713500978,101.22686614990235,150.83963012695312,95.95502471923828,13539.7216796875
7,151.61153335571288,101.39118270874023,124.39038848876953,78.0111083984375,13539.6240234375
8,153.36776428222657,92.09223556518555,107.37006378173828,66.5455093383789,13539.5654296875
9,162.84798355102538,97.7751968383789,99.7830810546875,65.4633560180664,13539.8779296875
10,157.1528305053711,96.57974624633789,108.62541198730469,65.84636688232422,13539.8154296875
11,150.17896881103516,93.47033233642578,124.47987365722656,79.3438491821289,13539.5146484375
