function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,7.4e-06,9.3e-06
"('_collections_abc.py', 664, '__contains__')",8,5.3e-06,1.13e-05
"('functools.py', 404, '__get__')",2,1.5300000000000003e-05,1.74e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.7100000000000006e-05,5.9300000000000005e-05
"('_weakrefset.py', 16, '__init__')",4,5.1e-06,5.1e-06
"('_weakrefset.py', 20, '__enter__')",4,9.800000000000001e-06,1.2400000000000002e-05
"('_weakrefset.py', 26, '__exit__')",4,1.02e-05,1.45e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.2000000000000003e-06,3.2000000000000003e-06
"('_weakrefset.py', 58, '__iter__')",6,1.8200000000000002e-05,5.02e-05
"('_weakrefset.py', 81, 'add')",2,8.8e-06,1.67e-05
"('_weakrefset.py', 106, 'remove')",2,7.000000000000001e-06,2.58e-05
"('threading.py', 513, 'is_set')",2,1.1e-06,1.1e-06
"('_compile.py', 9, 'is_compiling')",336,0.0005045000000000001,0.0005045000000000001
"('_tensor.py', 429, 'backward')",3,5.81e-05,40.1879902
"('_tensor.py', 906, '__iter__')",4,1.9e-05,0.000133
"('_tensor.py', 928, '__hash__')",246,6.55e-05,0.00010590000000000001
"('__init__.py', 78, '_is_compiled')",3,4.800000000000001e-06,8.7e-06
"('__init__.py', 82, 'is_available')",3,1.18e-05,2.57e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00011300000000000001,0.00024400000000000002
"('__init__.py', 31, '__get__')",24,3.26e-05,6.59e-05
"('module.py', 1188, '_call_impl')",432,0.5242973000000001,26.8007065
"('module.py', 1256, '__getattr__')",580,0.0021620000000000003,0.0021620000000000003
"('linear.py', 113, 'forward')",152,0.0016724,4.4123076
"('functional.py', 1446, 'relu')",24,0.0001575,0.47358150000000004
"('functional.py', 1618, 'leaky_relu')",64,0.00046380000000000005,4.6112034
"('functional.py', 2500, 'layer_norm')",24,0.00034290000000000004,1.4900725000000001
"('functional.py', 3264, 'mse_loss')",8,0.0001217,0.009616300000000001
"('_VF.py', 26, '__getattr__')",8,1.79e-05,2.75e-05
"('_reduction.py', 7, 'get_enum')",8,1.0300000000000001e-05,1.0300000000000001e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00016930000000000002,0.00016930000000000002
"('activation.py', 101, 'forward')",24,0.0001576,0.4737391
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034551,0.0034551
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004664,0.0004664
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.33e-05,3.33e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,5.1e-06,5.1e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001541,0.0001541
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.33e-05,4.33e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.9e-06,2.9e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5.500000000000001e-06,5.500000000000001e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.2e-06,5.2e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002717,0.0002717
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0005254000000000001,0.0005254000000000001
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,3.19e-05,3.19e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,7.32e-05,7.32e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007424,0.0007424
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0017178,0.0017178
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0037923,0.0037923
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0018002,0.0018002
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0015906000000000002,0.0015906000000000002
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.00030240000000000003,0.00030240000000000003
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0010556,0.0010556
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.8498015000000001,0.8498015000000001
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0045887,0.0045887
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0079349,0.0079349
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.004385,0.004385
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.6972394000000001,0.6972394000000001
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,4.5381032,4.5381032
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,1.0451991,1.0451991
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0014975000000000001,0.0014975000000000001
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,0.0001044,0.0001044
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0034419000000000003,0.0034419000000000003
